メニュー名（税込価格）,カロリー,タンパク質,脂質,糖質
おにぎり（紅しゃけ）（151円）,188,5.2,1.3,0.9
おにぎり（ツナマヨネーズ）（124円）,238,5.0,6.8,1.0
おにぎり（辛子明太子）（151円）,173,5.1,0.5,1.0
おにぎり（日高昆布）（118円）,179,3.5,0.4,0.8
おにぎり（紀州南高梅）（124円）,164,2.7,0.4,1.2
北海道男爵いものポテトサラダ105g（127円）,179,1.8,11.9,15.2
シャキシャキ食感のごぼうサラダ70g（127円）,112,1.3,9.1,4.8
セブンイレブン ツナと玉子のサラダ（205円）,97,7.5,4.0,0.3
10種具材のミックスサラダ（199円）,59,2.0,2.0,1.1
海老とブロッコリータルタルサラダ（399円）,237,5.3,20.0,1.5
コクと旨味のカレーパン（138円）,293,7.1,15.8,29.4
がっつり食べる！ソーセージドッグ（162円）,450,13.6,30.9,27.3
もちもちお好み焼きパン（151円）,252,5.9,10.3,32.2
サックサク食感！バター香るメロンパン（127円）,339,9.0,6.7,58.5
しっとり濃厚チョコブレッド（138円）,472,11.6,10.3,79.7
こだわりたまごのサンド（237円）,363,11.6,26.9,17.7
シャキシャキレタスサンド（259円）,214,9.2,10.8,18.0
ジューシーハムサンド（270円）,227,12.7,11.7,16.2
ミックスサンド（257円）,316,12.9,18.0,23.9
ローストビーフサンド（399円）,196,13.9,7.1,18.0
ビッグアメリカンドッグ（108円）,319,6.4,16.0,36.8
BIGポークフランク（154円）,323,11.5,27.4,7.4
燻製あらびきフランク（108円）,190,6.9,17.5,1.1
ななチキ（198円）,201,14.8,11.8,8.6
からあげ棒（123円）,205,7.1,13.4,13.8
お好み幕ノ内（464円）,668,20.4,23.1,92.9
たっぷりネギの豚塩カルビ弁当（麦飯）（453円）,634,20.3,24.0,82.0
焦がし醤油のチャーハン（464円）,601,17.2,16.9,94.1
鶏の旨味！国産鶏のたっぷり鶏そぼろごはん（298円）,413,19.5,5.2,71.4
青高菜と明太子の御飯（321円）,326,8.4,0.7,69.1
コシとのど越しが自慢 （356円）,338,16.2,1.0,60.5
ツルッとさっぱり！夏の冷し中華（486円）,491,21.4,6.2,82.6
ツルッともっちり！冷したぬきうどん（399円）,454,12.2,9.3,77.0
香ばし麺の五目あんかけ焼そば（550円）,500,22.1,14.4,65.2
豚玉＆焼きそば（516円）,502,18.1,17.4,65.1
プレーン（213円）,98,21.7,0.8,1.0
ハーブ(213円）,114,24.6,1.5,0.4
スモーク（213円）,115,23.4,1.8,1.3
「おでん」昆布巻（90円）,5,0.2,0.0,0.1
「おでん」味しみ大根（85円）,9,0.3,0.1,0.5
「おでん」こだわりたまご（84円）,85,7.2,5.7,0.7
「おでん」つゆだく白滝（75円）,7,0.1,0.0,0.4
「おでん」味しみこんにゃく（75円）,9,0.1,0.0,0.9
寒天ゼリーカロリー0 ぶどう味（105円）,0,0.0,0.0,0.5
たまごの風味豊かな直火焼プリン 4個入（213円）,103,3.4,4.3,12.7
くちどけなめらか杏仁豆腐（151円）,140,3.3,5.0,20.4
